# x |x| K_N count nontrivial_mass_2^-64 min_program kt depth0 open_progs speed_nontrivial_lo_2^-128 speed_nontrivial_hi_2^-128 honest_nontrivial_lo_2^-128 honest_nontrivial_hi_2^-128 kt_program
0010 4 4 24012201 73801962323181568 0001001010 4 0 0 1243467306529956122149645392250483490 1243467306529956122149645392256923892 263497905828424875996759094641778881 263497905828424875996759094663597476 0001001010
000010 6 6 23856015 40829505027178496 000001001010 6 0 0 671486087854348126571430648673591101 671486087854348126571430648680737923 104252282231741739703031986522621463 104252282231741739703031986540894360 000001001010
0000110 7 7 10285961 18634815234375680 0000010010110 7 0 0 310906435754038155855469620506918168 310906435754038155855469620509760767 41942598386825677901101353565950203 41942598386825677901101353572586170 0000010010110
00000010 8 8 16969045 17637622235004928 00000001001010 8 0 0 283371497241130732088032134725912935 283371497241130732088032134731289983 35066546880736679164088208861098048 35066546880736679164088208878010929 00000001001010
00011010 8 8 6550274 12347994292617216 00010001101010 8 0 0 203851259596475993245615734421314691 203851259596475993245615734423498437 24698643334714591702863789657339708 24698643334714591702863789663864629 00010001101010
000000110 9 9 7270833 7944632776261632 000000010010110 9 0 0 128030417170301097654795666442193218 128030417170301097654795666444356079 14265618438449428845359415741057379 14265618438449428845359415748286398 000000010010110
0000000010 10 10 9521144 6587859611942912 0000000001001010 10 0 0 103656875870753857174167928473083161 103656875870753857174167928476022401 10731691251443320295925606994215519 10731691251443320295925607003614739 0000000001001010
0000011010 10 10 4716190 4837797961662464 0000010001101010 10 0 0 78171688162748382881881807351698594 78171688162748382881881807353118630 7919234967177380091551166702937951 7919234967177380091551166707594424 0000010001101010
0001100010 10 10 4574061 4707258898317312 0001000110001010 10 0 0 75114655461712694526609874371898181 75114655461712694526609874373482497 7684938332171664322722765501590802 7684938332171664322722765506055793 0001000110001010
0000001110 10 10 3744382 4092848576135168 0000000100101110 10 0 0 66629513185558539380181094034513483 66629513185558539380181094035574801 6710894385241396427122352070743188 6710894385241396427122352074464986 0000000100101110
00000000110 11 11 4325191 3033226918494208 00000000010010110 11 0 0 47456001913300592582847942208021706 47456001913300592582847942209338480 4533224599228967703635004561897429 4533224599228967703635004565989825 00000000010010110
00011000110 11 11 2197713 2346385160536064 00010001100011010 11 0 0 37577333986551961138967324567542810 37577333986551961138967324568234330 3519187577316322122810606841515424 3519187577316322122810606843598468 00010001100011010
000000000010 12 12 4672479 2246244625809408 000000000001001010 12 0 0 34710821820569146861330552841866424 34710821820569146861330552843237995 3101097619429370958923192392944840 3101097619429370958923192396599204 000000000001001010
00000111010 11 11 2144843 2122775623892992 00000100100111010 11 0 0 34537467907074388457627693382840582 34537467907074388457627693383420116 3194447983772540302178892731673992 3194447983772540302178892733752988 00000100100111010
00000110110 11 11 2115022 2108948840710144 00000100100110110 11 0 0 34468818233536419438121632174709288 34468818233536419438121632175263438 3177455785848540801766760085914668 3177455785848540801766760087964522 00000100100110110
000001100010 12 12 2861778 1760605685940224 000001000110001010 12 0 0 27550999034097549342720502482900101 27550999034097549342720502483766575 2434610786755810565511516555007558 2434610786755810565511516557235906 000001000110001010
000000011010 12 12 2715116 1734644177305600 000000010001101010 12 0 0 27488917765087515555660605128427839 27488917765087515555660605129191150 2404200560957981183428628822394717 2404200560957981183428628824538075 000000010001101010
000110000010 12 12 2551249 1691715022880768 000100011000001010 12 0 0 26570788567343185120359618978923123 26570788567343185120359618979698624 2340803071160294089340211886880824 2340803071160294089340211888831022 000100011000001010
000001110110 12 12 1602546 1527882790731776 00000100011010110 12 0 0 24353623053058443036490398626912814 24353623053058443036490398627410690 2118977597302613475304718387096024 2118977597302613475304718388286617 00000100011010110
000101101010 12 12 1419754 1460828041641984 000100010110101010 12 0 0 23375609721255497752648352567064176 23375609721255497752648352567511437 2026774132271476767994083920428357 2026774132271476767994083921427763 000100010110101010
000110011010 12 12 1414138 1459706333757440 000100011001101010 12 0 0 23372403982353185846474860466558573 23372403982353185846474860467001599 2025620476937718800767396554898819 2025620476937718800767396555891879 000100011001101010
000000001110 12 12 2057355 1446951421739008 000000000100101110 12 0 0 23115227243548598378951733873250338 23115227243548598378951733873809000 2008007078019637925021903760437467 2008007078019637925021903762066528 000000000100101110
0000000000110 13 13 2292848 1053903193899008 0000000000010010110 13 0 0 16128161023905261266800840234844602 16128161023905261266800840235575884 1350560831393582155016131783518727 1350560831393582155016131785247127 0000000000010010110
