# kind bits n floor_beta floor_trans beta_hi_2^-128 trans_hi_2^-128 honest_hi_2^-128
unknown 01000110001100001011010000110110 32 10000001 39993679 7922815459144887844866 1981017113085903839793 7922812290020288749211
unknown 010001011010100000011100101101010 33 71532 320000001 553795242089305049443214 123794003541681766423 553764276128553019413610
unknown 010001101000011000000110011110110 33 765360 320000001 51758755692918585759345 123794003541681766423 51758485187612912021956
unknown 0001000110001100001011010000110110 34 10000001 39993680 1980703864786221961217 495254265888162439626 1980703072505072187303
unknown 0100010101101010100000011100110110 34 151648 320000001 130611947592886713958549 61897001770840883212 130608502549033869638291
unknown 0100010110011010100000011100110110 34 151664 320000001 130598168507794100105404 61897001770840883212 130594724190772505725572
unknown 0100010110101000000101110100111010 34 1523487 320000001 13001122181263170869451 61897001770840883212 13001088046182146398231
unknown 0100010110101000000111001011010110 34 71532 320000001 276897621044652524721607 61897001770840883212 276882138064276509706805
unknown 0100010110101000000111001011011010 34 71532 320000001 276897621044652524721607 61897001770840883212 276882138064276509706805
unknown 0100010110101000000111001011101010 34 71532 320000001 276897621044652524721607 61897001770840883212 276882138064276509706805
unknown 0100011010000001011010010111010110 34 90 320000001 220078229206289826648733196 61897001770840883212 210713198176234940408361571
unknown 0100011010000001100101110110011010 34 54 320000001 366797048677149711081221993 61897001770840883212 341500700492518696523896338
unknown 0100011010000001110000111001111010 34 766573 320000001 25838427166840058805080 61897001770840883212 25838292341886182860152
unknown 00010001011010100000011100101101010 35 71532 320000001 138448810522326262360804 30948500885420441606 138441069032138254853403
unknown 00010001101000011000000110011110110 35 765360 320000001 12939688923229646439837 30948500885420441606 12939621296903228005489
unknown 01000101100010100000011100101101010 35 71531 320000001 138450746030155348019642 30948500885420441606 138443004323520545176390
unknown 01000101101010000001011010000110110 35 10000001 39993677 990351932393110980609 247627151519052429193 990351536252536093652
unknown 01000101101010000001110010110110110 35 71532 320000001 138448810522326262360804 30948500885420441606 138441069032138254853403
unknown 01000101101010000001110010111010110 35 71532 320000001 138448810522326262360804 30948500885420441606 138441069032138254853403
unknown 01000101101010000001110011001110110 35 101156 320000001 97903439383556508750772 30948500885420441606 97899568152264157761892
unknown 01000101101010000001110011100110110 35 9140682 320000001 1083455295161022142461 30948500885420441606 1083454821036740809081
unknown 01000101101010000001110011100111010 35 10000001 100351110 990351932393110980609 98688697257888250556 990351536252536093652
unknown 01000110011000000110011101000011010 35 1918018 320000001 5163413645900633987373 30948500885420441606 5163402877695376903494
unknown 01000110011000000111001101000011010 35 126411 320000001 78343817502298393329639 30948500885420441606 78341338561745379893154
unknown 01000110011010000001110011001110110 35 101148 320000001 97911182764691760580467 30948500885420441606 97907310921020268498824
unknown 01000110100000010111001011010110110 35 92 320000001 107646959937859154339054281 30948500885420441606 103161669940448356241593686
unknown 01000110100000011001011101100110110 35 2444 320000001 4052176888004518084776185 30948500885420441606 4045555683939151225160537
unknown 01000110100000011001011101100111010 35 71528 320000001 138456552878355919348969 30948500885420441606 138448810522326262360804
unknown 01000110100001011000000110011101010 35 1258669 320000001 7868248375294094157553 30948500885420441606 7868223370393296908088
unknown 01000110100001011000100001100111010 35 1339322 320000001 7394428161624345899786 30948500885420441606 7394406077596524071954
unknown 01000110100001100001010110001011010 35 7732082 320000001 1280834879180412494228 30948500885420441606 1280834216572738870105
unknown 01000110100001100001011000001111010 35 1927692 320000001 5137501382110338269388 30948500885420441606 5137490721712885330049
unknown 01000110100001100001011000100111010 35 6472976 320000001 1529979458333082371879 30948500885420441606 1529978512877073959629
unknown 01000110100001100110000001100111010 35 1918053 320000001 5163319425627468166518 30948500885420441606 5163308657815196419707
unknown 01000110100100011010000001100111010 35 1918021 320000001 5163405569742480504225 30948500885420441606 5163394801570908720790
unknown 01000110100100011010000001110011010 35 126415 320000001 78341338561745379893154 30948500885420441606 78338859778063757814831
unknown 000001000110001100001011010000110110 36 10000001 39993681 495175966196555490305 123813563376212384642 495175768126268046826
unknown 000100010101101010100000011100110110 36 151648 320000001 32652986898221678489638 15474250442710220803 32652125637258467409573
unknown 000100010110011010100000011100110110 36 151664 320000001 32649542126948525026351 15474250442710220803 32648681047693126431393
unknown 000100010110101000000101110100111010 36 1523487 320000001 3250280545315792717363 15474250442710220803 3250272011545536599558
unknown 000100010110101000000111001011010110 36 71532 320000001 69224405261163131180402 15474250442710220803 69220534516069127426702
unknown 000100010110101000000111001011011010 36 71532 320000001 69224405261163131180402 15474250442710220803 69220534516069127426702
unknown 000100010110101000000111001011101010 36 71532 320000001 69224405261163131180402 15474250442710220803 69220534516069127426702
unknown 000100010110110100000011100101101010 36 71530 320000001 69226340796050903111933 15474250442710220803 69222469834505565180146
unknown 000100011010000001011010010111010110 36 90 320000001 55019557301572456662183299 15474250442710220803 52678299544058735102090393
unknown 000100011010000001100101110110011010 36 54 320000001 91699262169287427770305499 15474250442710220803 85375175123129674130974085
unknown 000100011010000001110000111001111010 36 766573 320000001 6459606791710014701270 15474250442710220803 6459573085471545715038
unknown 010000011100011100001011010000110110 36 10000001 39993680 495175966196555490305 123813566472040609907 495175768126268046826
unknown 010001011000110100001011010000110110 36 10000001 39993680 495175966196555490305 123813566472040609907 495175768126268046826
unknown 010001011010100000010101101000111010 36 75872 320000001 65264658334319921704931 15474250442710220803 65261217738698944324906
unknown 010001011010100000010110110000110110 36 10000001 39995528 495175966196555490305 123807845645681214650 495175768126268046826
unknown 010001011010100000010111010000110110 36 10000001 39995528 495175966196555490305 123807845645681214650 495175768126268046826
unknown 010001011010100000011001011000111010 36 53640 320000001 92314693459014189030509 15474250442710220803 92307809953424821034906
unknown 010001100011000010101101000011011010 36 10000001 39996841 495175966196555490305 123803781332168735516 495175768126268046826
unknown 010001100110001100001011010000110110 36 10000001 39993681 495175966196555490305 123813563376212384642 495175768126268046826
unknown 010001101000000101011100010110011010 36 88508 320000001 55947034812011581999328 15474250442710220803 55944506475297373232969
unknown 010001101000000101110011011001110110 36 4876 320000001 1015537357904331644708060 15474250442710220803 1014704950233918258114037
unknown 010001101000000110010111011001100010 36 19124 320000001 258929102548709532503478 15474250442710220803 258874955935880442262469
unknown 010001101000000111001100101110110110 36 87596 320000001 56529523689911880674877 15474250442710220803 56526942433122386981696
unknown 010001101000010000011100110110011010 36 75870 320000001 65266378768176105174595 15474250442710220803 65262937991163258818522
unknown 010001101000010000011100111010011010 36 75870 320000001 65266378768176105174595 15474250442710220803 65262937991163258818522
unknown 010001101000010001011010011101000110 36 10000001 34999991 495175966196555490305 141478898012902949021 495175768126268046826
unknown 010001101000010001101001011000001010 36 10000001 34999993 495175966196555490305 141478889928392874239 495175768126268046826
unknown 010001101000010001110010110101000110 36 10000001 34999998 495175966196555490305 141478869717121729539 495175768126268046826
unknown 010001101000010001110011010011000110 36 10000001 36666661 495175966196555490305 135048025156736281485 495175768126268046826
unknown 010001101000010110000001110011011010 36 151675 320000001 32647174268281002799384 15474250442710220803 32646313313916370094717
unknown 010001101000010110000110011000111010 36 10000001 36666678 495175966196555490305 135047962543580334701 495175768126268046826
unknown 010001101000010110001100101101000110 36 10000001 35000050 495175966196555490305 141478659520244145354 495175768126268046826
