n=4: cumulative 1 terms, 0 distinct nontrivial nfs (0.0s, 0.0s total)
n=5: cumulative 1 terms, 0 distinct nontrivial nfs (0.0s, 0.0s total)
n=6: cumulative 2 terms, 0 distinct nontrivial nfs (0.0s, 0.0s total)
n=7: cumulative 3 terms, 0 distinct nontrivial nfs (0.0s, 0.0s total)
n=8: cumulative 5 terms, 0 distinct nontrivial nfs (0.0s, 0.0s total)
n=9: cumulative 6 terms, 0 distinct nontrivial nfs (0.0s, 0.0s total)
n=10: cumulative 12 terms, 1 distinct nontrivial nfs (0.0s, 0.0s total)
n=11: cumulative 17 terms, 1 distinct nontrivial nfs (0.0s, 0.0s total)
n=12: cumulative 30 terms, 2 distinct nontrivial nfs (0.0s, 0.0s total)
n=13: cumulative 44 terms, 3 distinct nontrivial nfs (0.0s, 0.0s total)
n=14: cumulative 81 terms, 5 distinct nontrivial nfs (0.0s, 0.0s total)
n=15: cumulative 125 terms, 6 distinct nontrivial nfs (0.0s, 0.0s total)
n=16: cumulative 226 terms, 10 distinct nontrivial nfs (0.0s, 0.0s total)
n=17: cumulative 360 terms, 15 distinct nontrivial nfs (0.0s, 0.0s total)
n=18: cumulative 658 terms, 23 distinct nontrivial nfs (0.0s, 0.0s total)
n=19: cumulative 1089 terms, 31 distinct nontrivial nfs (0.0s, 0.0s total)
n=20: cumulative 1972 terms, 54 distinct nontrivial nfs (0.0s, 0.0s total)
n=21: cumulative 3333 terms, 86 distinct nontrivial nfs (0.0s, 0.0s total)
n=22: cumulative 6069 terms, 136 distinct nontrivial nfs (0.0s, 0.0s total)
n=23: cumulative 10474 terms, 214 distinct nontrivial nfs (0.0s, 0.0s total)
n=24: cumulative 19048 terms, 375 distinct nontrivial nfs (0.0s, 0.0s total)
n=25: cumulative 33382 terms, 641 distinct nontrivial nfs (0.0s, 0.0s total)
n=26: cumulative 60847 terms, 1085 distinct nontrivial nfs (0.0s, 0.1s total)
n=27: cumulative 107993 terms, 1813 distinct nontrivial nfs (0.0s, 0.1s total)
n=28: cumulative 197263 terms, 3239 distinct nontrivial nfs (0.1s, 0.1s total)
n=29: cumulative 353623 terms, 5711 distinct nontrivial nfs (0.1s, 0.2s total)
n=30: cumulative 647463 terms, 9933 distinct nontrivial nfs (0.3s, 0.5s total)
n=31: cumulative 1170376 terms, 17334 distinct nontrivial nfs (0.4s, 0.9s total)
n=32: cumulative 2148823 terms, 31103 distinct nontrivial nfs (2.8s, 3.7s total)
n=33: cumulative 3910730 terms, 55292 distinct nontrivial nfs (3.2s, 6.9s total)
n=34: cumulative 7199335 terms, 98232 distinct nontrivial nfs (7.9s, 14.8s total)
n=35: cumulative 13177198 terms, 175254 distinct nontrivial nfs (33.5s, 48.3s total)
n=36: cumulative 24325850 terms, 313559 distinct nontrivial nfs (47.9s, 96.2s total)
n=37: cumulative 44739908 terms, 559693 distinct nontrivial nfs (88.3s, 184.6s total)
n=38: cumulative 82811806 terms, 1002669 distinct nontrivial nfs (301.8s, 486.4s total)
n=39: cumulative 152937208 terms, 1794454 distinct nontrivial nfs (2174.9s, 2661.3s total)
