# x |x| K_N count nontrivial_mass_2^-64 min_program
0010 4 4 13201709 73711277343506432 0001001010
000010 6 6 13119422 40739439957245952 000001001010
0000110 7 7 5650014 18595926092283904 0000010010110
00000010 8 8 9279831 17573120432930816 00000001001010
00011010 8 8 3624001 12323446935519232 00010001101010
000000110 9 9 3944434 7916728918999040 000000010010110
0000000010 10 10 5179792 6551441711824896 0000000001001010
0000011010 10 10 2587968 4819945141567488 0000010001101010
0001100010 10 10 2501976 4689876989509632 0001000110001010
0000001110 10 10 2041233 4078561526808576 0000000100101110
00000000110 11 11 2366779 3016798567923712 00000000010010110
00011000110 11 11 1224599 2338222088650752 00010001100011010
000000000010 12 12 2584449 2228728960647168 000000000001001010
00000111010 11 11 1192223 2114784468140032 00000100100111010
00000110110 11 11 1176417 2101075251298304 00000100100110110
000001100010 12 12 1596331 1749990347112448 000001000110001010
000000011010 12 12 1523158 1724645308891136 000000010001101010
000110000010 12 12 1432405 1682329479151616 000100011000001010
000001110110 12 12 903908 1522022190415872 00000100011010110
000101101010 12 12 819185 1455790103724032 000100010110101010
000110011010 12 12 815739 1454686599118848 000100011001101010
000000001110 12 12 1154630 1439378815582208 000000000100101110
0000000000110 13 13 1251087 1045164269240320 0000000000010010110
0000011100010 13 13 866490 884631092068352 0000010001100010110
0000011000110 13 13 757443 824375938908160 0000010001100011010
0000000011110 13 13 691183 801932536971264 0000000001001011110
0001100000110 13 13 635919 748773928075264 0001000110000011010
0000000111010 13 13 687087 747485840539648 0000000100100111010
0000000110110 13 13 672549 740273432821760 0000000100100110110
00000000000010 14 14 1141416 710419450691584 00000000000001001010
00000001100010 14 14 816069 587856972087296 00000001000110001010
00000110000010 14 14 787967 582153674948608 00000100011000001010
00000000011010 14 14 756416 573218448474112 00000000010001101010
00011000000010 14 14 719787 560920413601792 00010001100000001010
00000000001110 14 14 617943 513890890809344 00000000000100101110
00000101101010 14 14 494502 493903052537856 00000100010110101010
00000110011010 14 14 494210 493767207419904 00000100011001101010
00000001110110 14 14 491921 492851188203520 0000000100011010110
00010110100010 14 14 446512 466389273935872 00010001011010001010
00010110001010 14 14 454849 456719155068928 00010001011000101010
00011001100010 14 14 453888 455409643028480 00010001100110001010
00011000011010 14 14 428255 437696895909888 00010001100001101010
00011000001110 14 14 391182 420942413037568 00010001100000111010
00000110001110 14 14 367228 390024973516800 00000100100110001110
00000001101110 14 14 377637 384762648723456 00000001001001101110
00000001111010 14 14 375797 384372981104640 00000001001001111010
00000111000110 14 14 337960 362408468021248 00000100100111000110
000000000000110 15 15 563326 336519646674944 000000000000010010110
000001110000010 15 15 412035 290791196983296 000001000110000010110
000000011100010 15 15 412659 286443784110080 000000010001100010110
000000011000110 15 15 371679 272981494333440 000000010001100011010
000001100000110 15 15 348232 261786108428288 000001000110000011010
