term_bits,size_bits,class,steps_run,size0,final_size,max_size,pos_delta_frac,hit_node_cap,period,first_recur_step,head_bits,head_k,head_count,chain_len,milestone_steps,milestone_arg_sizes,growth,ckpt_0_1k_5k_10k_20k,k0_frac,max_k,final_k,notes
00000000010001011010100000011100101101010,41,blowup,48,20,1062916,1062916,0.5000,1,0,0,,0,0,0,,,n/a,20|0|0|0|0,1.0000,0,0,
00000000010001101000011000000110011110110,41,opaque,20000,19,61228,61522,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),19|3373|15628|30517|61228,1.0000,0,0,
00000001000101100010100000011100101101010,41,blowup,51,20,1062915,1062915,0.4902,1,0,0,,0,0,0,,,n/a,20|0|0|0|0,1.0000,0,0,
00000001000101101010000001110010110110110,41,opaque,20000,19,300035,300038,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),19|15035|75035|150035|300035,1.0000,0,0,
00000001000101101010000001110010111010110,41,opaque,20000,19,300035,300038,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),19|15035|75035|150035|300035,1.0000,0,0,
00000001000101101010000001110011001110110,41,opaque,20000,19,400415,400418,0.5001,0,0,0,,0,0,0,,,linear(r2=1.000),19|20415|100415|200415|400415,1.0000,0,0,
00000001000101101010000001110011100110110,41,opaque,20000,19,316611,316614,0.6912,0,0,0,,0,0,0,,,linear(r2=1.000),19|16883|80259|159095|316611,1.0000,0,0,
00000001000101101010000001110011100111010,41,opaque,20000,19,39999,40021,0.1915,0,0,0,,0,0,0,,,linear(r2=0.997),19|4927|12279|21507|39999,1.0000,0,0,
00000001000101101110100000011100101101010,41,blowup,50,19,1062917,1062917,0.5000,1,0,0,,0,0,0,,,n/a,19|0|0|0|0,1.0000,0,0,
00000001000110011000000110011101000011010,41,blowup,3500,20,500073,500073,0.5060,1,0,0,,0,0,0,,,linear(r2=0.971),20|77097|0|0|0,1.0000,0,0,
00000001000110011000000111001101000011010,41,blowup,91,20,524317,524317,0.5824,1,0,0,,0,0,0,,,n/a,20|0|0|0|0,1.0000,0,0,
00000001000110011010000001110011001110110,41,opaque,20000,19,400115,400118,0.5001,0,0,0,,0,0,0,,,linear(r2=1.000),19|20115|100115|200115|400115,1.0000,0,0,
00000001000110100000010111001011010110110,41,monotone-growth,51,19,573080,573080,1.0000,1,0,0,,0,0,0,,,n/a,19|0|0|0|0,1.0000,0,0,
00000001000110100000011001011101100110110,41,monotone-growth,577,19,500014,500014,1.0000,1,0,0,,0,0,0,,,n/a,19|0|0|0|0,1.0000,0,0,
00000001000110100000011001011101100111010,41,monotone-growth,577,19,502282,502282,0.9983,1,0,0,,0,0,0,,,n/a,19|0|0|0|0,1.0000,0,0,
00000001000110100001011000000110011101010,41,blowup,5554,20,500207,500207,0.5061,1,0,0,,0,0,0,,,linear(r2=0.972),20|38215|427978|0|0,1.0000,0,0,
